StockCode,Description,CantidadTotal
23843,"PAPER CRAFT , LITTLE BIRDIE",80995
23166,MEDIUM CERAMIC TOP STORAGE JAR,77916
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,54415
85099B,JUMBO BAG RED RETROSPOT,46181
85123A,WHITE HANGING HEART T-LIGHT HOLDER,36725
84879,ASSORTED COLOUR BIRD ORNAMENT,35362
21212,PACK OF 72 RETROSPOT CAKE CASES,33693
22197,POPCORN HOLDER,30931
23084,RABBIT NIGHT LIGHT,27202
22492,MINI PAINT SET VINTAGE ,26076
22616,PACK OF 12 LONDON TISSUES ,25345
21977,PACK OF 60 PINK PAISLEY CAKE CASES,24264
17003,BROCADE RING PURSE ,22963
22178,VICTORIAN GLASS HANGING T-LIGHT,22433
15036,ASSORTED COLOURS SILK FAN,21876
21915,RED  HARMONICA IN BOX ,20975
22386,JUMBO BAG PINK POLKADOT,20165
22197,SMALL POPCORN HOLDER,18252
20725,LUNCH BAG RED RETROSPOT,17697
84991,60 TEATIME FAIRY CAKE CASES,17689
