CustomerID,Country,TotalGastado
14646,Netherlands,280206.01999999996
18102,United Kingdom,259657.29999999996
17450,United Kingdom,194550.78999999998
16446,United Kingdom,168472.5
14911,EIRE,143825.06
12415,Australia,124914.52999999997
14156,EIRE,117379.63000000009
17511,United Kingdom,91062.38
16029,United Kingdom,81024.84
12346,United Kingdom,77183.6
16684,United Kingdom,66653.56
14096,United Kingdom,65164.78999999985
13694,United Kingdom,65039.619999999995
15311,United Kingdom,60767.89999999998
13089,United Kingdom,58825.82999999999
17949,United Kingdom,58510.48
15769,United Kingdom,56252.72
15061,United Kingdom,54534.140000000014
14298,United Kingdom,51527.3
14088,United Kingdom,50491.810000000005
