Country,StockCode,Description,CantidadTotal,RankingEnPais
Australia,22492,MINI PAINT SET VINTAGE ,2952,1
Australia,23084,RABBIT NIGHT LIGHT,1884,2
Australia,21915,RED  HARMONICA IN BOX ,1704,3
Austria,21918,SET 12 KIDS COLOUR  CHALK STICKS,288,1
Austria,22546,MINI JIGSAW PURDEY,240,2
Austria,22584,PACK OF 6 PANNETONE GIFT BOXES,144,3
Bahrain,23076,ICE CREAM SUNDAE LIP GLOSS,96,1
Bahrain,23077,DOUGHNUT LIP GLOSS ,60,2
Bahrain,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,24,3
Belgium,21212,PACK OF 72 RETROSPOT CAKE CASES,480,1
Belgium,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,420,2
Belgium,22417,PACK OF 60 SPACEBOY CAKE CASES,384,3
Brazil,22699,ROSES REGENCY TEACUP AND SAUCER ,24,1
Brazil,22697,GREEN REGENCY TEACUP AND SAUCER,24,2
Brazil,84971S,SMALL HEART FLOWERS HOOK ,24,3
Canada,37370,RETRO COFFEE MUGS ASSORTED,504,1
Canada,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,288,2
Canada,20727,LUNCH BAG  BLACK SKULL.,50,3
Channel Islands,21785,RAIN PONCHO ,407,1
Channel Islands,85099B,JUMBO BAG RED RETROSPOT,250,2
Channel Islands,85099C,JUMBO  BAG BAROQUE BLACK WHITE,220,3
Cyprus,22335,HEART DECORATION PAINTED ZINC ,384,1
Cyprus,84598,BOYS ALPHABET IRON ON PATCHES,288,2
Cyprus,84568,GIRLS ALPHABET IRON ON PATCHES ,288,3
Czech Republic,22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,72,1
Czech Republic,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,72,2
Czech Republic,23271,CHRISTMAS TABLE SILVER CANDLE SPIKE,48,3
Denmark,21915,RED  HARMONICA IN BOX ,288,1
Denmark,23296,SET OF 6 TEA TIME BAKING CASES,280,2
Denmark,22467,GUMBALL COAT RACK,270,3
EIRE,21212,PACK OF 72 RETROSPOT CAKE CASES,1632,1
EIRE,84991,60 TEATIME FAIRY CAKE CASES,1464,2
EIRE,22952,60 CAKE CASES VINTAGE CHRISTMAS,1440,3
European Community,22571,ROCKING HORSE RED CHRISTMAS ,24,1
European Community,23308,SET OF 60 VINTAGE LEAF CAKE CASES ,24,2
European Community,23210,WHITE ROCKING HORSE HAND PAINTED,24,3
Finland,84997D,CHILDRENS CUTLERY POLKADOT PINK,480,1
Finland,84997C,CHILDRENS CUTLERY POLKADOT BLUE,300,2
Finland,23077,DOUGHNUT LIP GLOSS ,200,3
