Country,CustomerID,TotalGastado,ClientesPorPais,IngresoPorPais
Netherlands,14646,280206.01999999996,9,284661.53999999986
United Kingdom,18102,259657.29999999996,3950,6767873.3900000155
United Kingdom,17450,194550.78999999998,3950,6767873.3900000155
United Kingdom,16446,168472.5,3950,6767873.3900000155
EIRE,14911,143825.06,3,250285.22000000003
Australia,12415,124914.52999999997,9,137077.27000000002
EIRE,14156,117379.63000000009,3,250285.22000000003
United Kingdom,17511,91062.38,3950,6767873.3900000155
United Kingdom,16029,81024.84,3950,6767873.3900000155
United Kingdom,12346,77183.6,3950,6767873.3900000155
United Kingdom,16684,66653.56,3950,6767873.3900000155
United Kingdom,14096,65164.78999999985,3950,6767873.3900000155
United Kingdom,13694,65039.619999999995,3950,6767873.3900000155
United Kingdom,15311,60767.89999999998,3950,6767873.3900000155
United Kingdom,13089,58825.82999999999,3950,6767873.3900000155
United Kingdom,17949,58510.48,3950,6767873.3900000155
United Kingdom,15769,56252.72,3950,6767873.3900000155
United Kingdom,15061,54534.140000000014,3950,6767873.3900000155
United Kingdom,14298,51527.3,3950,6767873.3900000155
United Kingdom,14088,50491.810000000005,3950,6767873.3900000155
